Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year,City,State
75240,27875,29.4,42567,24966,6551,23.50134529,2017,Dallas,TX
75241,29398,36,32652,16519,7619,25.91672903,2017,Dallas,TX
75243,67445,31.2,38640,25034,17188,25.48446883,2017,Dallas,TX
75244,13613,38,82500,55553,705,5.178873136,2017,Dallas,TX
75246,2276,35.3,26716,32734,923,40.55360281,2017,Dallas,TX
75247,712,59.6,16886,13393,415,58.28651685,2017,Dallas,TX
75248,35464,42.1,80421,55207,2409,6.79280397,2017,Dallas,TX
75249,16100,33.3,60250,22501,2038,12.65838509,2017,Dallas,TX
75251,2368,36.3,58024,45742,461,19.46790541,2017,Dallas,TX
75252,26493,34.5,61399,47728,4336,16.3665874,2017,Dallas,TX
75253,22721,27.9,41905,14562,5398,23.75775714,2017,Dallas,TX
75254,26602,30.8,47437,38477,4456,16.75062025,2017,Dallas,TX
75287,53903,32,49887,38700,5907,10.95857373,2017,Dallas,TX
77002,12370,34.1,72306,34779,864,6.984640259,2017,Houston,TX
77003,9646,34.1,59575,37760,2665,27.62803235,2017,Houston,TX
77004,37642,28.3,48592,31067,7428,19.73327666,2017,Houston,TX
77005,28233,36.5,180758,100896,1049,3.715510219,2017,Houston,TX
77006,21945,34.3,82878,68705,1603,7.304625199,2017,Houston,TX
77007,35822,33.8,121458,85419,2156,6.018647758,2017,Houston,TX
77008,34491,34.9,97690,65444,2053,5.952277406,2017,Houston,TX
77009,37751,35.1,49383,33167,9148,24.23247066,2017,Houston,TX
77010,915,44.6,250001,196722,61,6.666666667,2017,Houston,TX
77011,18598,34,30665,13551,6352,34.15421013,2017,Houston,TX
77012,20085,33,36537,14721,4827,24.03286034,2017,Houston,TX
77013,20790,30.8,39513,14936,5105,24.55507456,2017,Houston,TX
77014,35729,31.3,45596,20308,6738,18.85863024,2017,Houston,TX
77015,57258,29.2,45917,18557,13065,22.81777219,2017,Houston,TX
77016,29597,38.5,32302,15171,7675,25.93168227,2017,Houston,TX
77017,32556,33,44286,18370,5910,18.15333579,2017,Houston,TX
77018,28073,37.7,81565,46458,4880,17.38325081,2017,Houston,TX
77019,21572,39.4,112243,96256,2138,9.910995735,2017,Houston,TX
77020,25898,33,27587,14646,7899,30.50042474,2017,Houston,TX
77021,26654,33.6,35126,21531,7643,28.67487056,2017,Houston,TX
77022,27364,34.1,30164,14924,8045,29.39994153,2017,Houston,TX
77023,28528,33.2,37462,18438,7520,26.3600673,2017,Houston,TX
77024,38110,44.3,118561,90464,2207,5.791130937,2017,Houston,TX
77025,28922,36.3,71990,58892,2729,9.435723671,2017,Houston,TX
77026,22799,35.2,26644,14026,8791,38.55870872,2017,Houston,TX
77027,16012,33.3,91296,89183,1123,7.013489883,2017,Houston,TX
77028,15725,38.6,30233,15319,4388,27.90461049,2017,Houston,TX
77029,17894,34.3,32200,15699,6387,35.69352856,2017,Houston,TX
77030,10813,33.9,75290,63823,1699,15.7125682,2017,Houston,TX
77031,18052,32.1,44459,20807,3728,20.65145136,2017,Houston,TX
77032,14443,24.4,30451,12001,5712,39.54857024,2017,Houston,TX
77033,29692,34.7,33750,14954,8432,28.39822174,2017,Houston,TX
77034,40183,28.1,47252,19317,7943,19.76706567,2017,Houston,TX
77035,38324,33.6,44546,26230,9361,24.42594719,2017,Houston,TX
77036,76605,30,29744,15753,26961,35.19483062,2017,Houston,TX
77037,20038,32.8,41491,13951,5259,26.24513424,2017,Houston,TX
77038,30653,28.1,41347,15165,7894,25.75278113,2017,Houston,TX
77039,27972,28.2,34608,12766,8937,31.94980695,2017,Houston,TX
77040,48273,34.4,55438,30293,6326,13.10463406,2017,Houston,TX
77041,35372,35.7,79503,37841,3609,10.20298541,2017,Houston,TX
77042,42098,31.2,47297,33962,8198,19.4736092,2017,Houston,TX
77043,25838,36.1,60043,30825,3754,14.52898831,2017,Houston,TX
77044,42665,30.2,76387,29547,5082,11.91140279,2017,Houston,TX
77045,36270,31.3,51170,18438,7582,20.90432865,2017,Houston,TX
77046,1029,44.9,90036,104296,32,3.109815355,2017,Houston,TX
77047,29410,31.2,56706,23575,6591,22.41074464,2017,Houston,TX
77048,17143,33.4,41220,18418,3660,21.34982208,2017,Houston,TX
77049,33749,30,56760,22103,4273,12.66111588,2017,Houston,TX
77050,5031,35.8,57163,22953,680,13.51619956,2017,Houston,TX
77051,16661,34.3,27244,15190,5723,34.34967889,2017,Houston,TX
77053,31868,29.5,45953,16372,7814,24.51989457,2017,Houston,TX
77054,22517,29.4,48681,33017,4661,20.69991562,2017,Houston,TX
77055,45003,33.3,52269,34256,10202,22.6695998,2017,Houston,TX
77056,21732,39.1,107003,89180,1145,5.268728143,2017,Houston,TX
77057,40130,34.4,57093,53201,6388,15.91826564,2017,Houston,TX
77058,16669,34,51635,36293,2991,17.94348791,2017,Houston,TX
77059,17374,45.1,126385,56162,568,3.269252907,2017,Houston,TX
77060,44549,26.7,28948,12253,16413,36.84257784,2017,Houston,TX
77061,26276,30.2,39180,18680,5723,21.78033186,2017,Houston,TX
77062,26583,38.5,88433,41094,2142,8.057781289,2017,Houston,TX
